com_id,com_name,inves_round,invse_year,invse_month,invse_day,invse_detail_money,current,com_city,com_prov,scope,com_url,com_born_month,com_born_year,com_des,invst_firms
100,物流QQ货车帮,A+轮,2016,4,18,3500,美元,贵阳,贵州,电子商务,http://www.56qq.cn,1,2011,物流QQ货车帮是一个互联网货车车库，每天实时发布最有效最真实的车辆信息，提供货运信息交易服务。成都运力科技有限公司旗下产品。,"腾讯 , 高瓴资本Hillhouse Capital , 元生资本 , 钟鼎创投 , DCM中国 , "
10015,Q房网,A轮,2015,11,12,--,人民币,深圳,广东,房产服务,http://www.qfang.com,2,2012,Q房网是一个综合房地产信息服务网，提供新房、二手房、租房等房源信息及经纪人对接业务，为客户提供优质购房体验，深圳市开心房网网络科技有限公司旗下网站（世华地产子公司）。,"前海互兴资产管理 , "
10093,墨鹍科技(全民无双),A轮,2016,2,4,43000,人民币,浦东新区,上海,游戏,http://weibo.com/u/3613836810,5,2013,上海墨鹍数码科技是一家手机游戏开发商，主打产品为三国题材动作手游《全民无双》。,"顺荣三七互娱 , "
101,云知声,B轮,2016,1,18,--,人民币,朝阳区,北京,硬件,http://www.unisound.com/,6,2012,云知声，是一家专注人工智能服务，拥有世界顶尖智能语音识别技术和完全自主知识产权的物联网公司。云知声利用机器学习平台，在语音技术、语言技术、知识计算、大数据分析等领域构建了完整的人工智能技术图谱，同时云,"Qualcomm Ventures , 磐谷创投 , 启明创投 , "
10126,唐人影视,A轮,2014,6,0,20000,人民币,徐汇区,上海,文化娱乐,http://www.tangrenmedia.com,1,1998,唐人影视是一家影视投资、影视制作、影视发行等公司，作品有《步步惊心》、《仙剑奇侠传》等。,"华数传媒 , 浙报传媒(东方星空) , "
10149,广州仙海网络,战略投资,2014,5,5,23000,人民币,广州,广东,游戏,http://www.521g.cn,4,2005,广州仙海网络科技是一家网络游戏开发商，产品覆盖客户端、页游、手游等，产品有《烈火战神》、《战将风云》、《战千雄》、《武易》等。,"光线传媒 , "
10160,WiFi万能钥匙,B轮,2016,12,1,--,美元,浦东新区,上海,工具软件,http://www.lianwifi.com/,1,2012,WiFi万能钥匙是一个WiFi 热点分享工具，用户可以上传自己知道的热点密码，也可以下载别人上传的热点密码，从而直接接入。上海连尚网络科技有限公司（隶属于掌门科技）旗下产品。,"北极光创投 , 猎豹移动 , 海通开元 , "
10216,卡行天下,C轮,2015,9,7,--,人民币,浦东新区,上海,电子商务,http://www.kxtx.cn,5,2010,卡行天下是一家专业的物流供应链管理服务商，旗下有卡行智能管理平台，提供物流网络交易平台。,"钜派投资 , 钟鼎创投 , 景林投资 , 普洛斯GLP , 菜鸟网络(阿里巴巴) , 远东宏信远翼投资 , 光信资本 , "
10292,斗鱼TV(斗鱼直播),C轮,2016,8,15,150000,人民币,武汉,湖北,游戏,http://www.douyutv.com/,1,2014,斗鱼TV（斗鱼直播）是一家游戏直播平台和弹幕式直播分享网站，前身为生放送直播。目前以游戏直播为主，涵盖了体育、综艺、娱乐等多种直播内容。武汉斗鱼网络科技有限公司旗下产品。,"凤凰资本 , 腾讯 , 南山资本 , 红杉资本中国 , "
10293,ImbaTV英雄传媒,C轮,2016,2,25,--,人民币,闸北区,上海,游戏,http://www.imbatv.cn/,5,2014,ImbaTV是一个新成立的游戏直播服务平台，目前主打以 DOTA2 为中心的原创性内容供应服务，由游戏风云知名解说海涛、BBC以及赛事总监117沈伟荣联合创办。上海映霸文化传播有限公司旗下产品（英雄传,"创新工场 , 普思资本 , 英雄互娱 , 毅达资本 , 红杉资本中国 , "
10335,昆仑决,B轮,2016,3,16,3000,美元,朝阳区,北京,体育运动,http://baike.baidu.com/view/10946330.htm,1,2014,昆仑决（Kunlun Fight）全称昆仑决世界极限格斗系列赛，旨在打造一个世界级的职业搏击平台，构建赛事、明星、武术馆校、旅游以及游戏等各种衍生产品的全产业链商业模式，自2014年起在青海卫视播出。,"北极光创投 , 中搜网络-中搜创投 , IDG资本 , 动域资本 , 虎扑 , 洪泰基金 , 晨兴资本 , "
10438,蘑菇租房(蘑菇公寓),B轮,2015,11,4,3000,美元,静安区,上海,房产服务,http://mogoroom.com,1,2014,蘑菇租房（前身是蘑菇公寓）是一家主打单身白领合租公寓O2O服务平台，室内统一配置品牌家电家具、接入高速WIFI，专职管家定期保洁。同时，蘑菇公寓通过线上线下活动建立趣味蘑菇圈，让远在异乡的都市男女相遇,"中国平安(平安创新投) , IDG资本 , KTB投资集团 , 海通开元 , "
10488,好屋中国,B轮,2015,12,24,70000,人民币,宝山区,上海,房产服务,http://www.haowu.cn,3,2012,好屋中国是一家房产全民众销平台，提供房产市场渠道营销服务和房产经纪人推荐、对接服务等，上海好屋网信息技术有限公司旗下网站。,"明牌珠宝 , 软银中国 , "
10514,百融金服,B+轮,2016,6,15,--,人民币,石景山区,北京,金融,http://www.100credit.cn/,3,2014,百融金服是一家提供大数据金融信息服务的公司，为金融相关行业公司提供获客引流、精准营销、客群分析、风控管理、反欺诈、贷前信审、贷后管理等服务，提升金融行业整体运营管理水平。,"中金前海发展基金 , "
10553,亿航智能,B轮,2015,8,24,4200,美元,广州,广东,硬件,http://www.ehang.com,4,2014,亿航是一家全球领先的智能飞行器科技公司，总部位于广州，在美国加州、德国杜塞尔多夫、中国北京、上海设有分公司。以“让人类像鸟儿一样自由飞翔”为愿景，亿航打造了全球最容易操控的智能无人机GHOSTDRON,"乐搏资本 , 真格基金 , 纪源资本GGV , 金浦集团 , PreAngel , 东方富海 , "
10601,河狸家美甲,C轮,2015,2,18,5000,美元,朝阳区,北京,本地生活,http://www.helijia.com,3,2014,河狸家是一个美甲师预约和上门服务移动APP，2015年扩充至美业综合O2O服务平台，北京河狸家信息技术有限公司旗下。,"IDG资本 , 麦星投资 , 宽带资本CBC , 光信资本 , 启明创投 , "
10602,蜜芽宝贝,E轮,2016,10,28,--,人民币,朝阳区,北京,电子商务,http://www.miyabaobei.com,10,2011,蜜芽宝贝是一家进口母婴品牌商品限时折扣特卖网站，每天在网站推荐热门的进口母婴品牌，以远低于市场价的折扣力度，在72小时内限量出售。北京花旺在线商贸有限公司旗下网站。,"百度公司 , 真格基金 , 险峰长青(险峰华兴) , H Capital , 红杉资本中国 , "
1062,WiTown树熊网络,B轮,2016,6,12,20000,人民币,杭州,浙江,企业服务,http://www.witown.cn/,9,2012,WiTown是一个智能Wi-Fi营销系统，它由硬件+软件构成，一方面是企业级路由器，另一方面则为提供客户营销服务，杭州树熊网络有限公司旗下。,"阿里巴巴 , 盈动资本 , 联建光电 , "
10641,摩登天空ModernSKY,D轮,2015,12,16,13000,人民币,朝阳区,北京,文化娱乐,http://www.modernsky.com,12,1997,摩登天空ModernSKY是一家新音乐独立唱片公司，业务涵盖音乐出版、艺人经纪、现场音乐三大版块，包括草莓音乐节、ZOO电子音乐节等。,"天堂硅谷 , 中国文化产业投资基金 , 复娱文化(复星集团) , "
107,出门问问,C轮,2015,10,20,--,美元,浦东新区,上海,移动互联网,http://chumenwenwen.com,2,2013,出门问问是一款为出门在外的人量身打造的信息查询语音应用，同时拥有微信公众账号及安卓APP。,"SIG海纳亚洲 , Google谷歌 , 真格基金 , 红杉资本中国 , "
10722,易商,B轮,2014,5,0,65000,美元,松江区,上海,电子商务,http://www.e-shang.com.cn/,7,2011,易商是一家为电子商务及零售业提供仓储物流服务的公司，为企业客户提供物流及办公设施的开发、运营和管理服务，隶属于上海益商仓储服务有限公司。,"荷兰汇盈资产管理公司 , 华平投资WI Harper Group , "
10782,贝贝网,D轮,2016,6,16,10000,美元,杭州,浙江,电子商务,http://www.beibei.com,5,2014,贝贝网是一家母婴特卖网站，以品牌正品、独家折扣、限时抢购为特色，每天以1-7折超低折扣对童装、童鞋、儿童玩具、用品等进行限时特卖，十点准时开抢，抢完即止。杭州贝购科技有限公司（米折网）旗下。,"北极光创投 , 新天域资本 , 高榕资本 , IDG资本 , 今日资本 , "
10784,爱游戏,A轮,2014,6,0,30000,人民币,南京,江苏,游戏,http://play.cn/,8,2010,爱游戏是一个轻游戏互动娱乐平台，为过亿用户提供基于手机、TV、PC、专用游戏机的融合性游戏业务，隶属于炫彩互动网络科技有限公司（中国电信游戏基地）。,"中国文化产业投资基金 , 顺网科技 , "
10886,DJI大疆科技-大疆无人机,C轮,2015,5,6,7500,美元,深圳,广东,硬件,http://www.dji.com,11,2006,深圳市大疆创新科技DJI是一家专注于飞行器及飞行影像系统的技术公司，主流产品线包括：Ace One 系列工业无人直升机飞行控制系统及地面站控制系统、WooKong-M 系列、禅思系列、筋斗云系列、Ph,"Accel Partners , 远瞻资本 , 麦星投资 , 红杉资本中国 , "
10910,爱鲜蜂网,D轮,2016,11,4,--,美元,东城区,北京,本地生活,http://www.beequick.cn/,5,2014,爱鲜蜂是一家基于移动终端定位的生鲜加强版社区电商平台，致力于打造以共享经济为基础的1小时速达掌上便利店，专注于社区最后一公里配送，主打一小时闪电送达。,"高瓴资本Hillhouse Capital , 中信资本 , 钟鼎创投 , Crystal Stream清流资本 , 美团(新美大) , 天图资本 , 红杉资本中国 , "
10946,趣分期(趣店集团),战略投资,2016,10,25,37500,人民币,海淀区,北京,金融,http://www.qufenqi.com,3,2014,趣分期(趣店集团)是一个面向大学生的分期付款购物+P2P理财平台，为全国各地大学生提供趣分期消费服务，隶属于北京快乐时代科技发展有限公司。,"梅花天使创投 , 蓝驰创投 , 国盛金控(华声股份) , 联络互动 , 凤凰祥瑞 , 蚂蚁金服(阿里巴巴) , 昆仑万维 , 源码资本 , "
10954,真旅网,C轮,2016,3,22,60000,人民币,普陀区,上海,旅游,http://www.travelzen.com,2,2007,真旅网是一家旅游OTA服务商，提供机票、酒店、线路等预订服务，隶属于上海长寿旅行社有限公司。,"联创永宣 , 凯旋创投 , 毅达资本 , "
10999,二十一世纪传媒,A轮,2014,6,0,50000,人民币,广州,广东,文化娱乐,http://www.the21media.com/,9,2010,二十一世纪传媒/21世纪是一家财经媒体，由广东二十一世纪出版有限公司于2010年9月整体改制而来，控股股东为广东南方报业传媒集团有限公司。目前旗下拥有报纸(21世纪经济报道、理财周报)、杂志(21世纪,"阿里巴巴 , "
110,梆梆安全Bangcle,D轮,2016,9,21,50000,人民币,海淀区,北京,企业服务,http://www.bangcle.com,10,2010,梆梆Bangcle是一家面向企业和开发者的移动应用安全服务提供商，目前主打应用保护、渠道监测等服务，对App进行加固保护，杜绝恶意篡改、注入代码、窃取创意、内存修改等危胁。北京洋浦伟业科技发展有限公司,"SIG海纳亚洲 , IDG资本 , Redpoint Ventures红点全球基金 , "
11060,新丽传媒,B轮,2013,10,15,82900,人民币,朝阳区,北京,文化娱乐,http://www.ncmchina.com,2,2007,新丽传媒成立于2007年，致力于电视剧、电影、网络剧制作以及全球节目发行、娱乐营销和艺人经纪等领域，产品有《搜索》、《101次求婚》、《辣妈正传》等影视作品。,"腾讯 , 万达院线(万达影视) , 联想之星 , 光线传媒 , "
11157,卷皮网,C轮,2016,4,13,60000,人民币,武汉,湖北,电子商务,http://www.juanpi.com,9,2012,卷皮网是一家提供生活所需品的平价电子商务平台，专注于为消费者提供服饰、居家、母婴等泛生活平价优质商品，创新“平价零售”模式，致力于成为平价消费的行业领导者。,"赛富基金 , 联创永宣 , 纽信创投 , 长江产业基金 , 浙江金控资本 , 汉理资本 , 天图资本 , "
11224,牛股王-淘金者科技,C轮,2015,9,1,--,美元,朝阳区,北京,金融,http://www.niuguwang.com,2,2014,牛股王是一个新上线的手机炒股软件，致力于帮助用户获得交易机会，搭建跟牛股、找牛人、智能盯盘，高手云集的人气炒股社区，北京淘金者科技有限公司旗下产品。,"中关村兴业投资 , 君联资本 , 曦域资本 , 险峰长青(险峰华兴) , 华晟资本-华兴资本 , 红杉资本中国 , "
11252,一起装修网,A轮,2015,12,16,20000,人民币,朝阳区,北京,房产服务,http://17house.com,11,2009,一起装修网是一家涵盖装修、建材、家具、家电等家居领域的电子商务平台，为业主提供一站式家居装修服务，隶属于北京神州一起网络科技有限公司。,"创湃资本 , "
11321,心医国际,战略投资,2016,11,14,6000,人民币,海淀区,北京,医疗健康,http://www.cinyi.com,6,2014,心医网是一个基于移动互联网的医疗信息服务提供商及远程医疗集成运营商，并致力于开创全流程的在线医疗体验，带来全新的O2O概念。心医国际健康科技（北京）有限公司旗下产品。,"中以基金 , 世铭投资 , "
11382,魔方公寓,C轮,2016,4,12,30000,美元,浦东新区,上海,房产服务,http://www.52mf.cn,1,2010,魔方公寓是一家面向都市白领的O2O服务式公寓连锁服务品牌，目前业务覆盖北京、上海、广州、深圳、南京、武汉等全国大中型城市，经营规模位居行业前列。,"德同资本 , 华平投资WI Harper Group , "
11503,华大基因,D轮,2015,6,29,200000,人民币,深圳,广东,医疗健康,http://www.bgidiagnosis.cn,7,2010,华大医学是一家全球多组学精准检测、医疗数据运营服务提供商，通过医学检测及服务，以期大幅降低出生缺陷和提高肿瘤等重大疾病的诊疗效果。华大基因集团旗下公司。,"复思资本 , 同创伟业 , 舜优投资 , 松禾资本 , 拉芳投资 , 泰康资产 , 深创投 , 景林投资 , 中信金石投资 , 软银中国 , "
1155,点融网,C轮,2015,8,20,20700,美元,黄浦区,上海,金融,http://www.dianrong.com,3,2013,点融网是一家P2P网络借贷和金融服务网站，上海点荣金融信息服务有限责任公司旗下。,"上海致景投资 , 北极光创投 , Tiger老虎基金(中国) , 渣打银行 , 新鸿基 , 线性资本LinearVenture , "
11553,ANE安能物流,D轮,2015,6,29,12000,美元,长宁区,上海,电子商务,http://www.ane56.com,8,2010,ANE安能物流是一家快递物流公司，通过整合传统物流专线、零担快运网络和信息技术平台，致力于打造中国最大的零担快运加盟网络。,"凯雷亚洲基金 , 华平投资WI Harper Group , 红杉资本中国 , "
11566,米粒影业Mili Pictures,C轮,2016,5,20,--,人民币,苏州,江苏,文化娱乐,http://www.milipictures.com,5,2012,苏州米粒影业（Mili Pictures）是一家家庭娱乐和影视服务商，致力于电影、动漫的策划、制作、投资、运营、管理、引进、发行、授权、衍生产品开发及销售的国际化专业公司。作品有《龙之谷》等。,"常春藤资本Ivy Capital , 深创投 , 太冠资本 , 58同城 , "
11604,四川商通和信通,A轮,2015,12,29,10000,人民币,成都,四川,金融,http://www.hexinpass.com/,8,2006,和信通是西部地区最大的第三方支付品牌，目前在成都拥有超百万用户以及上万家优质联盟商户门店，自投POS终端超过一万七千台，并可支持多种支付方式。四川商通实业有限公司旗下产品。,"广发信德-广发证券 , "
11646,人人车,D轮,2016,9,5,15000,美元,海淀区,北京,汽车交通,http://www.renrenche.com,7,2014,人人车是一家二手车交易服务平台，主打个人二手车、无差价交易服务。北京善义善美科技有限公司旗下网站。,"顺为基金 , 腾讯 , 联创策源 , 新浚资本 , 普思资本 , 汉富控股 , Redpoint Ventures红点全球基金 , "
11782,虎扑体育网,D轮,2015,1,20,24000,人民币,虹口区,上海,文化娱乐,http://www.hupu.com,1,2004,虎扑体育网是一家体育资讯、社区、O2O服务网站，提供体育营销策划、赛事营销与管理、活动管理等，此外业务还扩展至线下赛事、电子商务、游戏联运等，隶属于虎扑（上海）文化传播有限公司。,"德晖资本 , 景林投资 , 晨兴资本 , 海通开元 , "
11783,跟谁学,A轮,2015,3,30,5000,美元,海淀区,北京,教育,http://genshuixue.com/,6,2014,跟谁学是一家在线教育和课程学习平台，主打“万千名师，一搜即得”，从名师出发为用户提供各类课程在线学习服务，隶属于北京百家互联科技有限公司。,"启赋资本 , 高榕资本 , "
11927,礼物说,B轮,2015,4,2,3000,美元,海淀区,北京,电子商务,http://www.liwushuo.com,9,2014,礼物说是一家礼物领域的垂直电子商务公司，旗下产品礼物说是一款礼物攻略和导购应用，提供礼物商店、扫描礼物商品条形码及录音等，隶属于北京礼物说科技有限公司。,"英诺天使基金 , 和玉基金 , 红杉资本中国 , "
12,TalkingData腾云天下,C轮,2016,1,25,10000,美元,东城区,北京,企业服务,http://www.talkingdata.net,9,2011,TalkingData专注于移动互联网综合数据服务，服务内容从基本的数据统计，到深入的数据分析、挖掘等。,"北极光创投 , 华诺创投 , 五岳天下资本 , 麦顿投资 , 软银中国 , "
12009,嘀嘀虎(广联赛讯),A轮,2016,6,1,15000,人民币,深圳,广东,汽车交通,http://www.didihu.com.cn,1,2009,嘀嘀虎是一个车联网服务品牌，为车主提供基于“生活、社交、行车、娱乐”的智能车生活服务，通过嘀嘀虎TSP（车载智能硬件）服务、嘀嘀虎按天保的O2O 业务（UBI车险、创新及场景化保险）、汽车金融服务（金,
1213,大搜车,C轮,2016,11,16,10000,美元,杭州,浙江,汽车交通,http://souche.com,11,2012,大搜车是一个专业的O2O模式二手车交易服务提供商，此前主打线上信息、线下门店撮合，而后发展为与4S店合作，先后推出了车牛、大风车等产品，杭州大搜车汽车服务有限公司旗下产品。,"蚂蚁金服(阿里巴巴) , 神州租车 , 晨兴资本 , 源渡创投 , 红杉资本中国 , "
12137,魅族,B轮,2016,10,21,20000,人民币,深圳,广东,硬件,http://www.meizu.com,1,2003,魅族是一家消费电子和智能手机厂商，致力于制造设计优雅、简单易用的智能手机，主打产品为MX系列手机。,"阿里巴巴 , 海通开元 , "
12143,荣昌e袋洗,B+轮,2016,11,28,--,人民币,朝阳区,北京,本地生活,http://edaixi.com/,11,2013,荣昌e袋洗是一家基于微信平台开发的O2O洗衣服务产品，顾客将待洗衣物装进指定洗衣袋里、预约上门取件时间，工作人员将上门取件，并于72小时内送回。北京荣昌科技服务有限责任公司旗下新服务品牌。,"SIG海纳亚洲 , 经纬中国 , 润都资本 , 百度公司 , 腾讯 , "
1215,快牙,B轮,2014,6,0,2000,美元,海淀区,北京,移动互联网,http://www.kuaiya.cn,1,2012,快牙是一个手机传输工具，移动终端间发现和分享数字内容的服务平台，致力于为智能手机用户提供高速海量数据的分享服务。隶属于邻动网络科技（北京）有限公司。,"北极光创投 , 创新工场 , IDG资本 , 极客帮创投 , 启迪创投 , 源渡创投 , "
122,DeepGlint格灵深瞳,A轮,2014,6,None,--,美元,海淀区,北京,企业服务,http://www.deepglint.com,3,2013,格灵深瞳是一家专注于计算机视觉以及人工智能的科技公司。我们致力于让计算机像人一样主动获取视觉信息并进行精确的实时分析，释放人工智能最大的潜能为人服务。现阶段聚焦于将全球领先的人工智能及模式识别技术应用,"真格基金 , 联创策源 , 红杉资本中国 , "
12200,凹凸租车,B+轮,2016,7,3,10000,人民币,徐汇区,上海,汽车交通,http://www.atzuche.com,1,2014,凹凸租车(atzuche)是一家P2P共享租车服务品牌，率先将“车共享”理念带入中国。通过平台，车主安心将自己的闲置车辆通过平台租给他人使用；租客能够使用车况更好的车辆。上海新共赢信息科技有限公司旗下,"经纬中国 , 彬复资本 , 真格基金 , 联创策源 , 常春藤资本Ivy Capital , 赫斯特Hearst Ventures , 太平洋保险 , 熊猫资本 , "
12206,抱财网,B轮,2015,9,23,3000,人民币,海淀区,北京,金融,http://www.baocai.com,9,2013,抱财网是一家P2P借贷模式的互联网金融公司，为平台投资人及借款人提供透明便捷的一站式服务。北京中联创投电子商务有限公司 旗下网站。,
12330,微金所,B轮,2016,8,10,5000,人民币,朝阳区,北京,金融,http://www.weijinsuo.com,11,2013,微金所是一家P2P借贷服务网站和互联网金融信息服务提供商，中微（北京）信用管理有限公司旗下网站。,"海航资本 , "
12355,Razer雷蛇,战略投资,2016,2,24,7500,美元,深圳,广东,硬件,http://cn.razerzone.com,1,1998,Razer雷蛇是一家游戏软硬件公司，提供游戏键盘、鼠标、音频等服务。,"联络互动 , IDG资本 , 英特尔投资Intel Capital , "
1252,三只松鼠,D轮,2015,9,16,30000,人民币,芜湖,安徽,电子商务,http://3songshu.com,2,2012,三只松鼠是一个纯互联网食品品牌，以坚果、干果、茶叶等森林食品的研发、分装及网络自有B2C品牌销售的现代化新型企业。安徽三只松鼠电子商务有限公司旗下产品。,"IDG资本 , FreesFund峰瑞资本 , 今日资本 , "
12537,短融网,B轮,2016,1,11,39000,人民币,朝阳区,北京,金融,http://www.duanrong.com,5,2014,短融网是一个主打短期借款的融资服务平台，为有优质资产和信用的客户提供低成本的短期融资解决方案，并把这些优质资产通过增信后以类资产证券化的方式提供给理财人。久亿财富（北京）投资有限公司旗下网站。,"启赋资本 , 辅仁集团 , "
12869,夸客金融,B轮,2015,7,27,20000,人民币,嘉定区,上海,金融,http://www.quarkfinance.com/,4,2014,夸客金融是一个为个人提供金融服务及P2P借贷的网站，产品有车易贷、薪易贷、商易贷等。上海夸客金融信息服务有限公司旗下产品。,"戈壁投资 , "
12870,爱奇艺,B轮,2014,11,19,30000,美元,海淀区,北京,文化娱乐,http://www.iqiyi.com,4,2010,爱奇艺是一个网络视频综合服务商，全面覆盖电视端、PC端、手机端、PAD端，此前叫奇艺。北京爱奇艺科技有限公司旗下产品。,"顺为基金 , 百度公司 , 小米科技 , "
12911,好大夫在线,C轮,2015,6,12,6000,美元,通州区,北京,医疗健康,http://www.haodf.com,10,2006,好大夫在线是一家综合的医疗健康服务网站，提供医疗信息查询、咨询、转诊、分享等各类服务，隶属于互动峰科技（北京）有限公司。,"联创策源 , 挚信资本 , 雷军-顺为创业 , 崇德投资 , DCM中国 , "
12919,典典养车,D轮,2016,5,27,--,美元,杭州,浙江,汽车交通,http://www.xiaokakeji.com/,2,2014,典典养车（此前叫养车点点）是一个汽车后市场的移动O2O服务平台，包括商户版、车主版，提供洗车、保养、在线专家提问等各类汽车对接服务，杭州小卡科技有限公司旗下产品。,"纪源资本GGV , 天使投资人王刚 , 和玉基金 , 金沙江创投 , "
12935,趣医院-趣医网络,B+轮,2016,8,25,21600,人民币,闵行区,上海,医疗健康,http://www.quyiyuan.com/,1,2013,趣医院（此前叫去医院）是一个移动互联网上的就医咨询与服务平台，支持预约挂号、排班查询、报告查询、手机支付、叫号查询、医院导航等功能，上海趣医网络科技有限公司旗下产品（京颐科技子公司）。,"百度公司 , 软银中国 , 弘晖资本 , "
12957,FarmLink链农,B轮,2015,6,17,3000,美元,朝阳区,北京,本地生活,http://www.farmlink.cn/,8,2014,链农（FarmLink）是一家餐馆供应商，为餐饮行业提供高性价比的一站式食材采购服务。北京链农互动科技有限公司旗下网站。,"大众点评网 , 险峰长青(险峰华兴) , 红杉资本中国 , "
130,易到用车,D轮,2014,9,13,--,美元,丰台区,北京,汽车交通,http://www.yongche.com,5,2010,易到用车是一家智能交通和汽车租赁服务商。北京东方车云信息技术有限公司旗下产品。,"携程 , 真格基金 , 创新工场 , Qualcomm Ventures , 宽带资本CBC , GIC新加坡政府投资公司 , DCM中国 , 晨兴资本 , "
13023,达令,C轮,2016,8,22,30000,人民币,朝阳区,北京,电子商务,http://www.daling.com,1,2014,达令（此前叫：达令礼物店）是一个全球潮货移动电商品牌，主打海外精选创意时尚生活商品，北京普缇客科技有限公司旗下产品。此前曾主打礼品服务。,"IDG资本 , 今日资本 , 红杉资本中国 , "
13068,安徽华米科技,B轮,2014,12,4,3500,美元,合肥,安徽,硬件,http://www.ahhuami.com,1,2014,安徽华米科技是一家专注于可穿戴设备的技术公司，由小米公司和合肥华恒电子联合成立。,"顺为基金 , 高榕资本 , 小米科技 , 晨兴资本 , 红杉资本中国 , "
